lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,previous_cancellations,reserved_room_type,booking_changes,adr,total_of_special_requests,is_canceled
71,4,14,1,0,2,2,0,0,AUT,0,1,0,87.3,0,Y
192,6,26,24,0,2,1,0,0,PRT,0,1,0,95.0,0,N
18,7,27,8,1,1,2,0,0,PRT,0,5,2,195.0,2,N
37,10,44,27,0,2,2,0,0,JPN,0,1,1,109.0,1,N
219,5,18,4,0,3,2,0,0,GBR,0,4,0,130.5,3,Y
7,6,27,27,1,3,1,0,0,ESP,0,1,0,68.0,0,N
199,9,39,21,1,1,2,0,0,PRT,1,1,0,48.0,0,Y
276,7,30,20,1,1,2,0,0,PRT,1,1,0,62.0,0,Y
153,8,32,3,1,2,2,0,0,PRT,1,1,0,60.0,0,Y
0,7,31,29,0,1,2,0,0,FRA,0,1,0,89.0,0,N
2,3,13,22,0,1,2,0,0,GBR,0,1,0,89.0,0,N
41,9,38,14,0,3,1,0,0,DEU,0,1,2,108.0,0,N
7,7,30,26,2,5,2,0,0,DEU,0,Unknown,0,145.43,2,Y
243,9,36,1,0,3,2,0,0,AUT,0,Unknown,0,65.29,0,N
22,10,41,5,1,2,2,0,0,ESP,0,Unknown,0,95.0,0,N
95,7,29,14,2,4,2,0,0,SWE,0,Unknown,0,118.8,1,N
99,5,19,1,2,2,2,0,0,CHE,0,Unknown,0,89.25,0,Y
23,10,44,26,0,1,1,0,0,PRT,0,1,0,95.0,0,N
15,2,7,12,1,2,2,0,0,ROU,0,1,0,40.67,0,N
93,4,14,6,0,3,2,0,0,PRT,0,1,0,95.0,0,Y
407,5,18,6,2,1,2,0,0,PRT,0,1,0,90.0,0,Y
43,6,23,9,0,2,2,0,0,FRA,0,1,0,140.0,1,N
3,6,26,23,0,1,2,0,0,PRT,0,1,0,97.0,1,N
49,12,53,30,0,4,2,1,0,ITA,0,1,1,85.0,0,N
140,12,53,29,0,5,2,0,0,PRT,0,1,0,70.0,0,Y
14,11,46,10,0,1,1,0,0,PRT,0,1,0,99.0,0,Y
128,9,38,16,0,2,2,0,0,GBR,0,1,0,100.29,3,N
71,5,18,1,1,3,2,0,0,FRA,0,1,0,108.0,1,N
24,7,28,15,1,1,3,0,0,CHN,0,5,0,220.0,2,N
20,12,50,4,2,0,1,0,0,PRT,0,1,0,67.0,0,Y
208,12,49,1,0,3,2,0,0,PRT,0,1,1,72.25,1,Y
246,12,51,16,0,1,2,0,0,SGP,0,1,0,63.75,0,Y
59,2,6,6,2,2,2,0,0,AUT,0,1,0,62.0,0,N
110,12,50,9,0,4,2,0,0,FRA,0,1,0,70.0,0,N
7,6,24,8,0,3,3,0,0,SWE,0,4,0,173.67,2,N
111,4,17,27,1,3,2,0,0,PRT,0,1,0,120.0,0,Y
2,10,43,19,0,3,3,1,0,FRA,0,6,0,198.28,1,N
4,5,22,30,0,1,1,0,0,PRT,0,1,0,144.0,0,N
21,1,5,30,1,3,3,0,0,KOR,0,4,0,125.8,0,Y
161,4,17,28,1,2,3,0,0,IRL,0,4,0,166.5,0,N
32,3,10,10,2,7,3,0,0,DEU,0,5,0,131.47,0,N
18,7,29,18,1,1,3,0,0,PRT,0,1,0,108.75,0,N
0,8,32,8,0,1,2,0,0,FRA,0,1,0,85.0,0,N
51,10,43,17,1,1,3,0,0,DEU,0,4,0,158.4,1,Y
26,5,21,22,1,1,2,0,0,PRT,0,1,0,128.0,0,Y
287,8,33,16,0,1,2,0,0,DEU,0,1,0,107.1,0,Y
5,4,16,10,2,5,1,0,0,KWT,0,4,0,138.0,0,Y
159,8,32,5,0,1,1,1,0,PRT,0,1,0,118.3,0,Y
283,10,43,16,2,0,2,0,0,PRT,0,1,0,96.0,0,Y
80,9,36,3,1,3,2,0,0,PRT,0,1,0,62.83,1,N
0,3,12,15,0,0,2,0,0,PRT,0,1,0,0.0,0,N
197,7,30,23,2,1,3,0,0,CN,0,1,0,130.5,0,Y
55,4,15,6,0,1,2,0,0,PRT,0,1,0,104.0,0,N
58,11,48,20,2,1,2,0,0,FRA,0,1,0,75.0,1,N
29,9,37,4,2,0,2,0,0,US,0,4,0,130.15,1,Y
315,4,15,13,0,3,3,0,0,PRT,0,1,0,144.8,0,Y
12,2,8,22,0,3,2,0,0,NLD,0,1,1,87.76,0,N
52,8,34,24,0,2,2,0,0,DEU,0,1,0,149.0,1,Y
48,9,37,11,1,2,2,0,0,PRT,0,1,0,60.0,0,N
162,7,29,19,2,4,2,0,0,NLD,0,1,0,75.65,1,N
36,1,5,29,2,2,2,0,0,CHL,0,1,0,97.3,2,N
30,2,7,12,2,3,2,0,0,FRA,0,4,4,127.59,1,N
189,10,44,28,1,2,2,0,0,AUT,0,4,0,109.8,0,Y
5,8,33,9,0,3,2,0,0,ITA,0,1,0,151.0,0,Y
503,11,48,24,0,2,2,0,0,PRT,0,1,0,62.8,0,Y
145,4,15,14,1,2,2,0,0,FIN,0,4,0,99.85,0,N
313,12,49,1,0,3,2,0,0,GBR,0,4,0,91.8,1,N
31,8,34,26,0,1,2,0,0,DEU,0,1,1,195.0,4,N
41,8,33,12,0,2,2,0,0,PRT,0,1,0,62.0,0,Y
87,8,32,10,0,1,2,0,0,ESP,0,1,0,134.0,1,N
2,4,15,5,0,1,2,0,0,PRT,3,1,1,45.0,1,N
2,5,22,28,2,1,1,0,0,BEL,0,4,0,110.0,0,N
262,10,41,7,2,3,2,0,0,FRA,0,1,0,100.3,1,N
0,6,26,21,0,1,1,0,0,PRT,0,1,0,129.0,1,N
346,9,40,28,1,1,2,0,0,PRT,1,1,0,62.0,0,Y
67,7,31,24,2,3,2,0,0,ESP,0,1,0,105.3,3,N
32,3,11,13,1,2,1,0,0,DEU,0,1,0,65.07,0,N
339,9,39,21,1,1,2,0,0,PRT,1,1,0,62.0,0,Y
157,12,50,8,0,3,3,0,0,ITA,0,1,2,92.65,0,N
218,6,24,15,0,3,2,0,0,GBR,0,4,0,130.5,1,Y
141,6,26,27,2,5,1,0,0,PRT,0,1,0,130.0,0,Y
15,10,42,15,2,3,2,0,0,PRT,0,1,0,142.6,1,N
210,6,25,19,1,3,2,0,0,PRT,0,1,0,130.0,0,Y
330,6,23,2,0,2,2,0,0,PRT,0,1,0,62.0,0,Y
1,8,32,7,1,0,2,0,0,PRT,0,1,0,160.0,0,N
6,9,40,30,0,2,1,0,0,PRT,0,1,0,65.0,0,N
115,8,34,20,2,4,1,0,0,AUT,0,1,0,115.0,2,N
151,7,30,25,2,1,2,0,0,PRT,1,1,0,86.0,0,Y
12,10,41,7,0,1,2,0,0,PRT,0,1,0,119.7,0,N
24,2,5,4,0,1,2,2,0,GBR,0,6,0,188.0,0,Y
46,11,47,18,2,3,2,0,0,BRA,0,1,0,68.07,5,N
147,7,29,15,2,2,1,0,0,AUS,0,1,0,89.25,0,N
10,7,28,9,0,1,2,0,0,US,0,4,2,99.52,0,Y
72,5,18,4,0,1,3,0,0,BRA,0,4,2,189.0,0,Y
