booking_id,lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,total_guests,country,previous_cancellations,reserved_room_type,booking_changes,company,adr,total_of_special_requests,is_canceled
48878,71,4,14,1,0,2,2,0,0,2,AUT,0,1,0,,87.3,0,Y
91854,192,6,26,24,0,2,1,0,0,1,PRT,0,1,0,,95,0,N
115699,18,7,27,8,1,1,2,0,0,2,PRT,0,5,2,,195,2,N
100515,37,10,44,27,0,2,2,0,0,2,JPN,0,1,1,,109,1,N
67535,219,5,18,4,0,3,2,0,0,2,GBR,0,4,0,,130.5,3,Y
92102,7,6,27,27,1,3,1,0,0,1,ESP,0,1,0,,68,0,N
76547,199,9,39,21,1,1,2,0,0,2,PRT,1,1,0,,48,0,Y
75062,276,7,30,20,1,1,2,0,0,2,PRT,1,1,0,,62,0,Y
74949,153,8,32,3,1,2,2,0,0,2,PRT,1,1,0,,60,0,Y
93997,0,7,31,29,0,1,2,0,0,2,FRA,0,1,0,,89,0,N
85858,2,3,13,22,0,1,2,0,0,2,GBR,0,1,0,,89,0,N
97466,41,9,38,14,0,3,1,0,0,1,DEU,0,1,2,,108,0,N
72352,7,7,30,26,2,5,2,0,0,2,DEU,0,?,0,,145.43,2,Y
77031,243,9,36,1,0,3,2,0,0,2,AUT,0,?,0,,65.29,0,N
78351,22,10,41,5,1,2,2,0,0,2,ESP,0,?,0,,95,0,N
93306,95,7,29,14,2,4,2,0,0,2,SWE,0,?,0,,118.8,1,N
50461,99,5,19,1,2,2,2,0,0,2,CHE,0,?,0,,89.25,0,Y
100342,23,10,44,26,0,1,1,0,0,1,PRT,0,1,0,,95,0,N
83917,15,2,7,12,1,2,2,0,0,2,ROU,0,1,0,,40.67,0,N
65605,93,4,14,6,0,3,2,0,0,2,PRT,0,1,0,,95,0,Y
67736,407,5,18,6,2,1,2,0,0,2,PRT,0,1,0,,90,0,Y
113728,43,6,23,9,0,2,2,0,0,2,FRA,0,1,0,,140,1,N
91688,3,6,26,23,0,1,2,0,0,2,PRT,0,1,0,,97,1,N
82585,49,12,53,30,0,4,2,1,0,3,ITA,0,1,1,,85,0,N
46330,140,12,53,29,0,5,2,0,0,2,PRT,0,1,0,,70,0,Y
60402,14,11,46,10,0,1,1,0,0,1,PRT,0,1,0,,99,0,Y
97615,128,9,38,16,0,2,2,0,0,2,GBR,0,1,0,,100.29,3,N
111005,71,5,18,1,1,3,2,0,0,2,FRA,0,1,0,,108,1,N
116239,24,7,28,15,1,1,3,0,0,3,CHN,0,5,0,,220,2,N
61200,20,12,50,4,2,0,1,0,0,1,PRT,0,1,0,40,67,0,Y
45949,208,12,49,1,0,3,2,0,0,2,PRT,0,1,1,,72.25,1,Y
61532,246,12,51,16,0,1,2,0,0,2,SGP,0,1,0,,63.75,0,Y
83708,59,2,6,6,2,2,2,0,0,2,AUT,0,1,0,,62,0,N
46118,110,12,50,9,0,4,2,0,0,2,FRA,0,1,0,,70,0,N
90754,7,6,24,8,0,3,3,0,0,3,SWE,0,4,0,,173.67,2,N
67027,111,4,17,27,1,3,2,0,0,2,PRT,0,1,0,,120,0,Y
100048,2,10,43,19,0,3,3,1,0,4,FRA,0,6,0,,198.28,1,N
112957,4,5,22,30,0,1,1,0,0,1,PRT,0,1,0,483,144,0,N
63094,21,1,5,30,1,3,3,0,0,3,KOR,0,4,0,,125.8,0,Y
110681,161,4,17,28,1,2,3,0,0,3,IRL,0,4,0,,166.5,0,N
107865,32,3,10,10,2,7,3,0,0,3,DEU,0,5,0,,131.47,0,N
40228,18,7,29,18,1,1,3,0,0,3,PRT,0,1,0,,108.75,0,N
76755,0,8,32,8,0,1,2,0,0,2,FRA,0,1,0,,85,0,N
58875,51,10,43,17,1,1,3,0,0,3,DEU,0,4,0,,158.4,1,Y
68892,26,5,21,22,1,1,2,0,0,2,PRT,0,1,0,,128,0,Y
